QUERYNO,QUERY,LOCAL,WHAT,WHAT-TYPE,GEO-RELATION,WHERE,LAT-LONG
164302,Clearwater Beach Hostels,YES,Hostels,Yellow page,,Clearwater Beach,"27.97, -82.82"
172155,Columbia clothing,NO,,,,,
172391,Columbia River Gorge,YES,,Map,,Columbia River Gorge,"45.65, -121.90"
180534,convert kilometers to miles,NO,,,,,
195509,cyprus Italian food,YES,Italian food,Yellow page,,cyprus,"35.05, 33.29"
211301,dictionary from english to spanish,NO,,,,,
212836,dinosaur national monument,NO,,,,,
214012,Discount Airline Tickets To Brazil,YES,Discount Airline Tickets,Information,TO,Brazil,"-10.80, -52.97"
217859,doctors hospital augusta ga,YES,doctors hospital,Yellow page,,augusta ga,"33.46, -81.99"
218097,dodge park in Wisconsin,NO,,Yellow page,IN,Wisconsin,"44.63 , -89.73"
222904,Drain Repairing Mountain View CA,YES,Drain Repairing,Yellow page,,Mountain View CA,"37.40, -122.08"
225039,dubai police,YES,police,Yellow page,,dubai,"25.00, 55.33"
228325,EARN EXTRA INCOME IN SINGAPORE,YES,EARN EXTRA INCOME,Information,IN,SINGAPORE,"1.32, 103.82"
228553,EAST BAY,YES,,Map,,East Bay,"29.50, -94.68"
264285,flight to key west florida,YES,flight,Information,TO,key west florida,"24.55, -81.77"
267670,florida tax free shopping,YES,tax free shopping,Yellow page,,florida,"28.38, -81.75"
273102,fort pulaski national monument,YES,,Map,,fort pulaski national monument,"32.02, -80.89"
281926,free wav to mp3 converter,NO,,,,,
285765,fun things to do near maldon,YES,fun things to do,Information,NEAR,maldon,"51.73, 0.67"
288221,galleria cinemas,YES,cinemas,Yellow page,,galleria,"32.93, -96.81"
289228,games to play at parties,NO,,,,,
298780,glen canyon,YES,glen canyon,Map,,glen canyon,"37.16, -110.83"
325030,herald and news klamath falls,YES,herald and news,Information,,klamath falls,"42.23, -121.76"
347951,HOUSE TO BUY IN MISSISSAUGA,YES,HOUSE TO BUY,Yellow page,IN,MISSISSAUGA,"43.58, -79.61"
350738,how to invest in stock,NO,,,,,
379021,jameson inn crestview fl,YES,jameson inn,Yellow page,,crestview fl,"30.76, -86.57"
413466,lakeside mall in michigan,YES,lakeside mall,Yellow page,IN,michigan,"44.87, -85.73"
419864,law blog in singapore,YES,law blog,Information,IN,singapore,"1.32, 103.82"
429832,List of Restaurants in Ottawa,YES,List of Restaurants,Yellow page,IN,Ottawa,"45.42, -75.70"
443166,macdougall dr in atlanta,YES,,Map,,macdougall dr in atlanta,"33.76, -84.39"
465445,men shoes,NO,,,,,
476806,minibus trips in cyprus,YES,minibus trips,Information,IN,cyprus,"35.05, 33.29"
500600,nansemond county virginia,YES,,Map,,nansemond county virginia,"36.86, -76.51"
508092,New Car Dealer Albuquerque,YES,New Car Dealer,Yellow page,,Albuquerque,"35.08, -106.65"
513656,newbury weekly news,YES,weekly news,Information,,newbury,"51.39, -1.32"
515842,niagara day tours from toronto,YES,niagara day tours,Information,FROM,toronto,"43.65 , -79.38"
522071,North Olmsted apartments,YES,apartments,Yellow page,,North Olmsted,"41.42, -81.91"
523187,NORTHWEST AIRLINES,NO,,,,,
545455,ozark city schools,YES,schools,Yellow page,,ozark city,"31.45, -85.64"
545994,pacific coffee,NO,,,,,
548229,palm beach post times,YES,post times,Information,,palm beach,"26.64, -80.43"
550804,paradise valley community college,NO,,,,,
559785,Permission Letter for child to be on television,NO,,,,,
568343,pine view high school,YES,high school,Yellow page,,pine view,"45.40, -75.59"
573444,plumbers in manhattan ny new york,YES,plumbers,Yellow page,IN,manhattan ny new york,"40.40, -74.00"
579251,porter central rd  ohio,YES,,Map,,porter central rd  ohio,"40.41, -82.70"
581210,poultry farming training in the limpopo province,YES,poultry farming training,Yellow page,IN,the limpopo province,"-23.65, 29.00"
584581,Price To Sales Ratio,NO,,,,,
586626,products to import from cuba,YES,products to import,Information,FROM,cuba,"22.10, -79.01"
589183,province of british columbia,YES,,Map,,province of british columbia,"54.62, -124.90"
594250,Questionnaires on physical activity in South Africa,YES,Questionnaires on physical activity,Information,IN,South Africa,"-29.04, 25.06"
594256,Questions To Ask At An Interview,NO,,,,,
597458,rainforest cafe chicago,YES,rainforest cafe,Yellow page,,chicago,"41.90, -87.63"
642987,seattle family law attorney,YES,family law attorney,Yellow page,,seattle,"47.59, -122.33"
654871,shoreham weather,YES,weather,Information,,shoreham,"51.32, 0.19"
654878,shores of panama,YES,shores,Map,OF,panama,"8.59, -80.41"
655426,shreveport airport,NO,,,,,
656171,siena apartments,YES,apartments,Yellow page,,siena,"43.26, 11.24"
665018,SOCIETY CHANGES FROM 1915 TO 2005,NO,,,,,
713155,things to do in charlotte north carolina,YES,things to do,Information,IN,charlotte north carolina,"35.22, -80.84"
720279,top rated fitness gyms in washington dc,YES,top rated fitness gyms,Yellow page,IN,washington dc,"47.41, -120.58"
727275,travel tips to the northwest usa,YES,travel tips,Information,NORTH_WEST_TO,usa,"33.52, 131.36"
738740,United States Embassy,NO,,,,,
754698,vice president of trust at Frontier Bank in Everett Washington,YES,vice president of trust at Frontier Bank,Information,,Everett Washington,"47.97, -122.20"
757957,villas to rent in south west majorca,YES,villas to rent,Yellow page,SOUTH_WEST_OF,majorca,"39.58, 3.00"
778019,wet place,NO,wet place,,,,
778424,whalen furniture,NO,,,,,
779324,which airport is near to st julians in malta,YES,which airport is,Yellow page,NEAR,st julians in malta,"35.93, 14.38"
779442,whirlpool dishwashers,NO,,,,,
788702,woody allen,NO,,,,,
